pasta,processado
reversal - 3 periodo - 2-2016,False
requiem slash - 6 periodo - 2-2016,False
requiem slash - 5 periodo - 1-2016,False
renegados - 2 periodo - 2-2018,False
relogio do apocalipse - 2 periodo - 1-2018,False
nihaya - 3 periodo - 2-2016,False
brahma - 2 periodo - 1-2016,False
jump n roll - 2 periodo - 2-2018,False
universus - 5 periodo - 2-2015,False
lepus - 2 periodo - 2-2014,False
rustn - 5 periodo - 1-2018,False
rustn - 6 periodo - 2-2018,False
run humans run - 2 periodo - 2-2016,False
shadowcrawlers - 5 periodo - 1-2015,False
o cronfronto - 2 periodo - 1-2017,False
smash goblin - 5 periodo - 2-2019,False
forja divina - 3 periodo - 2-2018,False
sobreviventes do horizonte - 2 periodo - 2-2014,False
sonho de jequi - 4 periodo - 2-2014,False
nihon - 3 periodo - 2-2016,False
souvenir - 3 periodo - 1-2018,False
souvenir - 4 periodo - 2-2018,False
suit boy - 5 periodo - 1-2019,False
suit boy - 6 periodo - 2-2019,False
sunkenshoot - 5 periodo - 1-2019,False
system overdrive - 5 periodo - 1-2018,False
system overdrive - 6 periodo - 2-2018,False
terra beta  - 5 periodo - 2-2015,False
terra de coiotes - 2 periodo - 1-2016,False
tesseria - 3 periodo - 2-2017,False
tirim - 6 periodo - 2-2018,False
transfusion - 3 periodo - 1-2017,False
trials of tain - 4 periodo - 1-2016,False
two dudes two wheels - 2 periodo - 2-2018,False
two sides war of evolution - 6 periodo - 1-2016,False
underground - 6 periodo - 2-2018,False
upside down - 4 periodo - 1-2018,False
yamato - 2 periodo - 2-2015,False
anahkronoth - 2 periodo - 1-2012,False
veganimal - 2 periodo - 2-2019,False
vendetta - 3 periodo - 1-2015,False
cardio - 3 periodo - 1-2018,False
os filhos de miled - 2 periodo - 1-2016,False
zon - 4 periodo - 2-2015,False
wtfusion defense - 2 periodo - 2-2019,False
wigeers - 5 periodo - 1-2018,False
wells - 6 periodo - 2-2015,False
wells - 5 periodo - 1-2015,False
warportal - 6 periodo - 1-2018,False
vorazes e furiosos - 3 periodo - 1-2016,False
void - 2 periodo - 1-2019,False
